"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"① 从小程序退回微信面板 → ② 点「最近使用」→ ③ 长按删除如风智绘
        → ④ 断言它从最近使用列表消失 → ⑤ 返回面板 → ⑥ 点「我的小程序」→ 点名字进入
        → ⑦ 断言**进到了登录页**(登录态被这次删除清掉了,这正是后面登录用例的前提)。","0","入口-最近使用里删除后仍可从我的小程序进入","case","2026-09-26","broken","2026-09-26","TestRufengMiniEntry","test_rufeng_mini_entry","",""
"三字段页。注意星灿的「*工作成果简述」**带星号**(必填),云泽那个不带 ——
        照抄云泽的标签会找不到。字数要求是第三个输入框(y≈1805),
        fill_field 的校验条带已放宽到 2100 才覆盖得到","0","工作总结输入岗位、成果与字数要求","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"详情页「创作」,字段 `*电影主题`","0","电影推荐输入电影主题并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"","0","电影推荐输入电影主题","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"详情页「创作」,字段 `*视频主题`","0","短视频脚本视频主题并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"详情页「创作」,字段 `*产品名称`","0","产品描述产品名称并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"详情页「创作」,字段 `*翻译内容`","0","翻译助手翻译内容并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"","0","菜谱大全-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"","0","进入技能列表","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"","0","翻译助手-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"零配额:只是点收藏,不触发生成。

        **必须排在重写后面**(用户 2026-09-16 要求):重写会把这条消息重新生成一遍,
        原来那条上的收藏会被一起吞掉 —— 收藏在前时「我的收藏」页面整个是空的,
        连带 `test_rufeng_mini_mine` 那条因为没有收藏可取消而跳过 ✗。

        **判据看星的颜色,不看 OCR 认没认出 `★`**:收藏成功后星是金色实心块,
        **OCR 经常整块丢掉** —— 字符串里既没 ★ 也没 ☆,截图里星明明是金的,
        用例却判红。所以不靠文字,直接数金色像素(page_yunze_home.favorite_is_on)。","0","消息工具栏-收藏(星变金色实心)","case","2026-09-26","broken","2026-09-26","TestRufengMiniToolbar","test_rufeng_mini_toolbar","",""
"","0","小红书文案输入简要描述","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"","0","音乐生成输入歌曲名称与描述并立即生成","case","2026-09-26","broken","2026-09-26","TestXingcanSkill","test_xingcan_skill","",""
"填好(或故意留空)→ 点登录 → 断言:① 没登进小程序 ② 提示文案符合该情形。

        ⚠️ 「密码错误」那条对真账号是一次真实失败尝试,一轮只跑一次。","0","登录失败-手机号为空","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
"详情页「创作」,字段 `*论文主题`","0","论文资料输入论文主题并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"详情页「创作」,字段 `*关键词`","0","朋友圈文案输入关键词并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"完整链路:点输入框 → 注入提示词 → 点上箭头(发送) → 断言消息上屏。
        已知产品 bug(2026-09-10):发送时可能提示「发送失败,请重试」、
        输入框文字不清空、AI 不回复,但消息仍会上屏——本条只验证消息上屏,
        失败提示由截图留证","0","首页输入提示词点击发送","case","2026-09-26","broken","2026-09-26","TestYunzeHome","test_yunze_home","",""
"详情页「创作」,字段 `*餐品名称`","0","外卖好评餐品名称并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"详情页「创作」,字段 `*工作内容`+`*生成类型`(生成类型默认已选日报,
        走 create_daily_report 那套:填内容 + 点一下「日报」确保选中)","0","日报生成器工作内容并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"","0","广告文案输入产品要求","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"详情页「创作」,字段 `*要求`","0","个性签名要求并立即查询","case","2026-09-26","broken","2026-09-26","TestXingyunCreate","test_xingyun_create","",""
"","0","个性签名-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"详情页「创作」,字段 `*产品要求`","0","广告文案输入产品要求并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"","0","淘宝好评-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"上一条刚退出登录(停在首页),这条点首页的输入框 —— 用户 2026-09-17 说明的行为:
        **未登录时点输入框不会聚焦输入,而是整页跳到登录页**。","0","未登录时点首页输入框会直接跳到登录页","case","2026-09-26","broken","2026-09-26","TestRufengMiniLogin","test_rufeng_mini_login","",""
